song,year,artist,lyrics
i-nagual-eye,2007,earthtone9,"to bear the brunt
choose of the path
bear scars and marks
chosen is frozen
paths been chosen
paths been chosen
step on the cracks
see the ground weeps
bury me under sticks
as the wood burns
burn becomes bone
burn becomes bone"
3rd-ripple-in-wove,2007,earthtone9,"would you if you could do?
would you if you had to?
should you if you need to?
should you when i told you?
repercussions of my - actions sweep
scold legend seeps
repercussions of my - actions sweep
blacken the sun - crack the sky
could you now you bleed to
could you if you had to
repercussions of my - actions sweep
scold legend seeps
repercussions of my - actions sweep
blacken the sun - crack the sky "
vitriolic-hsf,2007,earthtone9,"download the weapon grade
the new take upon the fearsome
a copyright on the program
you have the new angle
your cut is right place
right time, right place
you're locked in to repeat
carbon faction brings low definition
carbon faction brings low definition
download the weapon grade
the new take upon the fearsome
a copyright on the program
carbon faction brings low definition
carbon faction brings low definition
hypodermic, insertion, scag high, direct in to the stream"
intonegrateattached,2007,earthtone9,"a meeting of minds
a meeting of hearts and vibes
discuss the ideas
to locate some common ground
a meeting of minds
a meeting of hearts and vibes
built two angles
tangential oblique sounds
shouty bit:
the thread is picked up, followed, found - found
emit sounds to raise
an awareness to rise
erasement of lives
this value is applied
emit sounds to raise
an awareness to rise
to spark a process
and overcome the inertia
shouty bit:
the thread is picked up, followed, found - found"
off-kilter,2007,earthtone9,"receive
receive - the revelation beaten on a skin drum
using instruments of bone
sheens gone, so tune in
feel the drone
to writhe
to writhe - to a rhythm with the blank eyed primitives
suffer the fire ritual
sheens gone, so tune in
feel the drone"
amnesia,2007,earthtone9,"i would walk
to remember to forget
to remember to forget
what do i have to offer you
the offer is not empty
the glass is so full
i wish that i could show you proof
i know that you are a gift to me
i know that you are a gift to me
i will lay where i fall
little matters anymore
no need to fight the tide
all that i need is inside
i would wait
to remember to forget
to remember to forget
i feel the suns warmth on my face
like the most beautiful flower
you are lifes gift to me
i know that you are a gift to me
i know that you are a gift to me
i will lay where i fall
little matters anymore
no need to fight the tide
all that i need is inside"
grind-and-click,2007,earthtone9,"grind and click
the bomb goes off
with a grind and a click
no flick of the switch
but a knife to the wrist
blows my mind every time"
house-of-leaves,2007,earthtone9,"some will never fade
indelible mark is made
those who wield the brightest flame
bring change
some marks are lighter
some courses are longer
some marks are lighter
some courses are longer
everyone will change
the remaining smoke ashes
the effort to remember
enslaves
some marks are lighter
some courses are longer
some marks are lighter
some courses are longer
but the autumn will still come
the leaves always fall
some will never fade
indelible mark is made
those who wield the brightest flame
bring change
some marks are lighter
some courses are longer
some marks are lighter
some courses are longer
but the autumn will still come
the leaves always fall"
0-0-0,2007,earthtone9,"thousand rays
thousand leaves
thousand breathes
thousand days
waiting for life to end
waiting for life to fall
i have never felt so
ready in all my life
thousand names
thousand lives
thousand times
thousand seasons
feel the breeze on my face
the water cleanse me
my hand in your hand
my head is in your arms
the shore is golden
we will have freedom
thousand questions
thousand reasons
thousand fears
thousand years
waiting for life to end
waiting for life to fall
i have never felt so
ready in all my life"
walking-day,2007,earthtone9,"a circle - dwell as part
the cycle - dwell as part
to flourish - live within
to nourish - live within
so harvest the fallen
return what is given
carry forth the knowledge
be guided by the wise
why can't you see why can't you see
why can't you see why can't you say
bury the blessings had
drift back through ages past
to revere the walkers
but their mark we erase
cast shadows on the land
the oceans will return
from oceans be reborn
the fallen will return
why can't you see why can't you see
why can't you see why can't you say"
approx-purified,2007,earthtone9,"lacking the integrity of function
there are only four walls
no sane man could call this a habitat
no sane man could call this a habitat
lacking the integrity of design
there are only four walls
the essence of conran is everywhere
the essence of conran is everywhere
forwards is not forwards
backwards is not backwards
there is not enough space
there is not enough peace
lacking the integrity of function
there are only four walls
but the testament will always still stand
but the testament will always still stand
lacking the fundament of a need
there are only four walls
and now there is hollowing of the stem
and now there is hollowing of the stem
swarming like the locust
exist like the virus
there is not enough space
reduction does not cease
we are a part of the process not instigators of it's progress
lacking the integrity of function
there are only four walls
no sane man could call this a habitat
no sane man could call this a habitat
lacking the integrity of design
there are only four walls
the essence of conran is everywhere
the essence of conran is everywhere"
nameless-the-4th-and-the-10th,2007,earthtone9,"the wear and tear
has taken a toll here
we are old
we are alone
and we are dead - dead - dead
less is more
more or less i guess
if you're blessed with a second guess
and did you bring a friend
less is more
more or less i guess
if you're blessed with a second guess
and did you bring a friend
to load down on
so load down on"
enertia-65800,2007,earthtone9,"for denial
you know that i've been waiting for so long
to be with you
give my hand
you know that i've been held from helping you
un-clean in form
cold within
the waves of my delusion crashing in
i'm burned in sin
darken my eyes
so i will never be
hollow my heart
so i am free
for denial
you know that i've been waiting for so long
to be with you
give my hand
you know that i've been held from helping you
un-clean in form
cold within
the waves of my delusion crashing in
i'm burned in sin
darken my eyes
so i will never be
hollow my heart
so i am free"
vitriolic-hsf2000,2007,earthtone9,"download the weapon grade
the new take upon the fearsome
a copyright on the program
you have the new angle
your cut is right place, right time right place
you're locked in to repeat
carbon faction brings low definition
carbon faction brings low definition
download the weapon grade
the new take upon the fearsome
a copyright on the program
carbon faction brings low definition
carbon faction brings low definition"
evil-crawling-i,2007,earthtone9,"left faithless
in the age of cain - no love lost
left lifeless
the lifeless have the key - belief-less
belief is gone the dogs come
seeking the truth to serve no use
no-one can wield the weapon

we must flow as
waters flow as
rivers flow and
mountains can rise
the seers
the knowers still know - few of us
the others
unable to process the soundbytes
spirit is torn the dogs come
laying in shreds shrouding the heads
of heroes who've been martyred

we must flow as
waters flow as
rivers flow and
mountains can rise
left faithless
in the age of cain - no love lost
left lifeless
the lifeless have the key - belief-less"
2-00-00,2007,earthtone9,"two minutes
give in to me
two minutes
it's all i need
it's not much to ask, to ask for
there is, nothing left
give all the chance ?
i think, you do the same
and i gonna take that
no way ???
i cannot understand the reasons
and i cannot forgive you
i cannot understand the reasons
and i cant forgive
i cannot forgive you for what you've done
i cannot forgive you for what you've done
two minutes
give in to me
two minutes
it's all i need
i cannot understand the reasons
and i cannot forgive you
i cannot understand the reasons
and i cant forgive
i cannot forgive you for what you've done
i cannot forgive you for what you've done

two minutes "
revelation,2007,earthtone9,"the thread has frayed
the fabric is wrenched
my hair and skin will repair
a fear of fear
but fear makes us whole
access recess
it hides like a trojan
like a trojan, like a trojan
cut this away
the debt must be paid
my pound of flesh is still warm
how many times
can this be replayed
the ships sinks i
thought the cracks were papered
cracks were papered, cracks were papered
clarity, clarity... clarity - show me
humility - give me
this thread has frayed
the fabric is wrenched
my hair and skin will repair
i cannot bear but chaos will thrive
reject program
the oceans will take us
take us oceans, take us oceans
clarity, clarity... clarity - show me
humility - give me"
you-deserve-nothing-and-i-hope-you-get-less,2013,bless-the-fall,"oh!
so where's the one
you've been speaking of?
is he hiding somewhere?
or just inside your head?
you built this prison by yourself
i can see
you're falling in front of me
and don't make it so easy
i can see
you're not getting anywhere
so pretend this was never yours
you suffer, you suffer
just like i saw
don't tell me, don't tell me
where we go from here
waiting for your final answer
just give it up
just letting know
just letting know
you built this prison by yourself
i can see
you're falling in front of me
and don't make it so easy
i can see
you're not getting anywhere
so pretend this was never yours
i can see
you're falling in front of me
and you're making it easy
you built this prison by yourself
dug this grave with your own hands
pretend this was never yours
i love it when you lose yourself
it makes it easy to forget you
pretend this was never yours
i can see
you're falling in front of me
and don't make it so easy
i can see
you're not getting anywhere
so pretend this was never yours
i can see
you're falling in front of me
and you're making it easy
and you're not getting anywhere
and you're not getting anywhere with me"
guys-like-you-make-us-look-bad,2010,bless-the-fall,"you scream don't look, you scream don't touch
what have they done? what have i not?
and every time i think about your voice i
start to tremble, and my throats aching
and anytime you need a shoulder, i'm right here
you've just gotta find a way.
she sits alone, tries to adjust
she cries please let me go i won't tell anyone
you scream don't look, please god don't touch
oh god please help us, get her out of this"
a-message-to-the-unknown,2010,bless-the-fall,"turn me on, let me feel you
turn me on, let me taste you
boundaries are starting to fall
conceiving has already started
kissing, caressing, indulge
is this really what you wanted?
no, i just don't know
if i can
no, i just don't know
if i can
is this really what you wanted?
is this really what you, yeah
even though, i don't know you
i know for sure, i love you
anything that you'll ever need
i'll try my best, to give everything
i tell myself its nothing
i tell myself its nothing, almost nothing"
stay-still,2010,bless-the-fall,"tonight is gone
they tell you it's your time
but i won't let them take you from me
and i'll never get far from you

we all feel the same

can't turn this one around
if i could pull you from wreckage
we'd be all fine, oh lord
don't tell me this is happening
if i could hold you for a second
we'd be all right, oh lord
don't tell me this is happening
so when does it start getting better
so far from home
the lights are fading out
just leave us all behind
if i could pull you from wreckage
we'd be all fine, oh lord
don't tell me this is happening
if i could hold you for a second
we'd be all right, oh lord
don't tell me this is happening
ohhhh
i never should have let you go
until i'll be with you
i'm dying on my own
if i could pull you from wreckage
we'd be all fine, oh lord
don't tell me this is happening
if i could hold you for a second
we'd be all right, oh lord
don't tell me this is happening
and i know
i'm not the only one
don't tell me this is happening
and i know, i'm not the only one
don't tell me this is happening
don't tell me this is happening"
hey-baby-here-s-that-song-you-wanted,2010,bless-the-fall,"i watched the sun again,
it's leaving now
i've spent all night long trying to figure out
what i've lost and what i've failed
when my feet won't hit the ground
trying to make it, starting over
and will we ever love again?
hey baby, are you alone tonight?
how can we make it?
hey baby, looks like you were wrong
it's never too late, too late
so here we are again, to make some sense of it all
all these sudden changes, maybe things are not so different
rearrange the pieces, like it's all we know
it's all we know, let it go
hey baby, are you alone tonight?
how can we make it?
hey baby, looks like you were wrong
it's never too late, too late
i can't put it together, what we've lost
the pieces keep falling one by one
'cause this life has us holding on
fall tomorrow then it's gone
fall tomorrow then i call
hey baby, it looks like you were wrong
how can we make it?
hey baby, are you alone tonight?
how can we make it?
hey baby, looks like you were wrong
it's never too late, too late

there's no one else tonight
tonight
there's no one else tonight
tonight"
charnel-s-ball,2013,amberian-dawn,"when the night's slowly falling, shadows grow
longer in the cold moonlight,
the nightbirds are singing their said tunes - then the
time has come for the charnel's ball.
white bones in the moonlight
dressed up also in white
dancing upon their own tombs
waltzing across the
graveyard is
filled with joy
corpses are looking like toys
undead girls and boys
dance in the charnel's ball!
you're asleep and you don't hear a thing, then the
dead are crawling out of their tombs.
we think death is for eternity but midnight welcomes
the dead to dance.
white bones in the moonlight
dressed up also in white
dancing upon their own tombs
waltzing across the
graveyard is
filled with joy
corpses are looking like toys
undead girls and boys
dance in the charnel's ball!"
city-of-corruption,2013,amberian-dawn,"mother earth gave the people
all they ever needed, wanted.
they got a paradise to live in
eden thrived and prospered.
life was simple, nature valued,
earth was giving, the people willing.
nothing was missing from human
generous was mother earth.
in the weak mind of men jealousy, gluttony took over
and all that they wanted was to own more.
eden was violated-the vicious, corrupted city
was swallowed up by the sea and disappeared!
mother earth she looked at eden,
the exploited land, vicious men.
took no pity for the city,
enforced a demise to the land!
she roused the seas to rush to shores,
swallow all in eden's doors.
the ingrate people and their city
taking for granted everything!
in the weak mind of men jealousy, gluttony took over
and all that they wanted was to own more.
eden was violated-the vicious, corrupted city
was swallowed up by the sea and disappeared!"
river-of-tuoni,2010,amberian-dawn,"along the black death-land river
the mother runs and tries to find her son
searching for her lost hero she wades the river deep to her belt in mud
oh! heavy-hearted am i
tuoni has taken my son!
oh! heavy-hearted am i
tuoni has taken my son!
fear in her heart she calls her son,
as she rakes the tuoni river and sees the black swan.
now she wades the river deeper to deathlands shoals and shallows and finds her son.
oh! heavy-hearted am i
tuoni has taken my son!
oh! heavy-hearted am i
tuoni has taken my son!"
arctica,2011,amberian-dawn,"in the genesis of the world
just the arctic wind was blowing.
something came into paradise,
the everlasting snow melted away.
arctica!
you start to think there is something greater than humankind.
arctica!
the world is crying and the streams are telling how things went wrong.
sorrow and worry of humankind
sad stories to find.
the world is growing ice again,
covering the faults of the human race!
arctica!
you start to think there is something greater than humankind.
arctica!
the world is crying and the streams are telling how things went wrong."
he-sleeps-in-a-grove,2011,amberian-dawn,"cold breeze blows in a misty grove
making dying leaves fall on the forgotten one
sleeping in a frost-covered ground
waiting for someone to find his lonely grave
and so did winter come over the grove
with beautiful pure white snow
covering all tracks of struggle and fight
of an ending life
on a grove sleeping
silently sighing
lonely forgotten this wandering soul
coldness is creeping
only one sleeping
in the grove covered with cold winter snow
northern winter in darkness and cold
makes the icy tears spring in his lonely soul
sitting next to his own frozen corpse
he wishes he could rest and haunt no more
after the winter came a blooming spring
white wood anemones within
where his body rested flowers turned red
as if marking his bloodstained bed
on a grove sleeping
silently sighing
lonely forgotten this wandering soul
coldness is creeping
only one sleeping
in the grove covered with cold winter snow
on a grove sleeping
silently sighing
lonely forgotten this wandering soul
coldness is creeping
only one sleeping
in the grove covered with cold winter snow"
saga,2011,amberian-dawn,"when one must overcome
and one must fight for light and some
came across the power of the sea
or the blowing of the north-wing.
then were the times ahead
for men in victory or death
still bravery of them is told in saga!
these stories are about the
honour of the brave men
stories about ancient feuds,
tales of worthy men.
heroic deeds are part of
history, then man's worth was
determinated by glory in battle - in arms and war.
when one must overcome
and one must fight for light and some
came across the power of the sea
or the blowing of the north-wing.
then were the times ahead
for men in victory or death
still bravery of them is told in saga!
noble men the sunborn sons
they fought for their fatherland
next to their kings and their gods
for their dignity.
these stories - the sunborn sagas - seal the bravery
of young valiant warriors
riding to glory.
when one must overcome
and one must fight for light and some
came across the power of the sea
or the blowing of the north-wing.
then were the times ahead
for men in victory or death
still bravery of them is told in saga!"
valkyries,2011,amberian-dawn,"ravens over battlefield are marking the chosen
brave northern warriors to their last fight
shield maidens ride the wolves in the sky with ravens
scouting the battleground for souls of slain heroes
choosers of slain
valkyries ride through the night sky
singing fierce battle-cries
valkyries, choosers of slain
come ride their wolves
howling wolves in the night carrying female deities
escort the dead warriors to odin's hall
armour of valkyries flashes up over the skies
shading a strange light, the northern lights
choosers of slain
valkyries ride through the night sky
singing fierce battle-cries,
valkyries, choosers of slain
come ride their wolves"
shallow-waters,2011,amberian-dawn,"in the middle of the forest wild
he's kneeling in front of a pond so wide
staring into dark and silent waters
he joins the stream taking the hand of other
see how your brothers lay in waters
if you just let them hide their tears
shallow waters eating brothers
darkest whirlpool let me pass
stream of sorrow wide and narrow
let this sad soul pass your halls
shallow waters eating brothers
darkest whirlpool let me pass
stream of sorrow wide and narrow
let this sad soul pass your hollow halls
in wells' abysses he dwelled in dark and deep
in the kingdom of ahti he's the knight of eels
reclaiming from the stream my brother and my kin
i'm reaching the great blackness that him binds
see how your brothers lay in waters
if you just let them hide their tears
shallow waters eating brothers
darkest whirlpool let me pass
stream of sorrow wide and narrow
let this sad soul pass your halls
shallow waters eating brothers
darkest whirlpool let me pass
stream of sorrow wide and narrow
let this sad soul pass your hollow halls
shallow waters eating brothers
darkest whirlpool let me pass
stream of sorrow wide and narrow
let this sad soul pass your halls
shallow waters eating brothers
darkest whirlpool let me pass
stream of sorrow wide and narrow
let this sad soul pass your hollow halls"
my-wings-are-my-eyes,2015,amberian-dawn,"spent years in tears
drown myself in fears
lived in a cage filling
my life with rage
tied my wings so tightly
gravity feel mighty
needed to feel the wind
under my wings!
my wings are my eyes
i'm seeing the blue skies
i'll fly, i'll fly away
and will find my way!
lost the joy of living
closed my self from feeling
lost the ability to fly and flee
left my world with tears
iron cage with fears
strenghened my wings
now i'm learning to fly!
my wings are my eyes
i'm seeing the blue skies
i'll fly, i'll fly away
and will find my way!"
no-one-learned,2006,fallacy,"
the privilege has been given too much
to forgive and forget for all you've done
now you have a label on yourself
to show what's next to come
you get so much out of all this
pain and misfortune to all your surroundings
you never learned to stop your troubles
prepare to suffer for what you've done
stand alone, in a place
and no one speaks a word
different from other days
everything vanished, no one learned
why are we waiting for the end?
i know its not coming
we should leave it all
seeing what else it could bring

--
things have to come now for you
add all this pain to all this sorrow
you've got what you want now
but you'll definitely pay tomorrow!
"
castaway,2007,cadaveres-de-tortugas,"vortex motion be my temper
i can feel them coming closer
cosmic hunters chose their victim
close to the trap where i am in
danger for the chaos system
coming closer i can feel them
liquid noise sounds so inhuman
whispering outer space anthem
i'm a castaway
that's not my place to stay
i wanna find my
home where i'm from
help me fly away
starring eyes i can't wait longer
i can feel them coming closer
increasing light shows when i turn
open mind - blurred body pattern"
absolvation,2007,cadaveres-de-tortugas,"it's a different day, your time has come
the lying interests betray you
don't think about revenge, forget it
there's nothing you could do
your way has been written
have patience in silence
believe in the power of faith
wear your crown of violence
rusty nails through your flesh
endless gate in the plane
into the immortality
will we rise again?
don't you feel fear? they expel you
in the protection of innocents
suffer for our sins, your body cries blood
the torture never ends"
don-t-need-at-all,2007,cadaveres-de-tortugas,"i don't need you to understand me
don't need at all!
i don't need you to ask me questions
you'd not believe a word
i know, long ago
you have sold your soul
you don't need a word to say
don't need at all!
i don't need you to like me
don't need at all!
i don't need you to search for me
and take my hand no more
i know, long ago
you have sold your soul
you don't need a word to say
don't need at all!
i don't need you to feel regret
don't need at all!
i don't need you to cry
that lying tears, no more
i know, long ago
you have sold your soul
you don't need more word to say
don't need at all!"
sleepwalker,2007,cadaveres-de-tortugas,"welcome to my sweet dementia
i'm asleep so i only feel ya
no one's here so don't be afraid of
all the voices that you brought with ya
i've been waiting so long
i've been waiting for you so long
in a safe, convenient coma
take a look around in your head
it's like you've been here before
did you ever think about that?
i've been waiting so long
but now we have finally met
i'm the voice in your head
lay down your head and fall asleep
i'm your guardian angel, i'll be here
i take heed of your dreams eternally
you don't know how much it means to me
while you're asleep i feel so free
your dream is my reality
'cause you're dreaming my life
and i'm living your dreams
welcome to my insomnia
i can't sleep because i don't wanna
no one's here but i'm afraid
the voices close me into the world i made
i've been hiding so long
i've been hiding from you so long
i slowly sink into a coma
i take a look around in my head
it's like i've been here before
i have never thought about that"
inside-my-head,2007,disbelief,"a moment of silence
where i can calm down
is totally different
to how i feel now
a moment of silence
where i can calm down
is totally different
to how i feel now
insanity's outside
it knocks on my door
thoughts run in circles
those i'm living for
people are wondering
how i behave
they can't see the inner
wish to give them a view
inside my head
a moment of silence
where i can calm down
inside my head
is totally different
to how i feel now
inside my head
a moment of silence
where i can calm down
inside my head
is totally different
to how i feel now
my heart is bleeding
after the attack
i cannot recover
feel like a wreck
next crash is coming
i have to go on
i'm running for cover
there's only one way, one way...
there's only one way
inside my head
a moment of silence
where i can calm down
inside my head
is totally different
to how i feel now
inside my head
a moment of silence
where i can calm down
inside my head
is totally different
to how i feel now
a moment of silence
where i can calm down
inside my head
is totally different
to how i feel now
to how i feel now
to how i feel now
to how i feel now..."
living-wreck,2007,disbelief,"where is the joy,
where is the bliss,
rest and satisfaction?
alone, weird and suffering,
down on the ground,
pined for you.
pined for you -
desirous
hungry for your return
return of feelings,
return of trust.
or to let go of,
what i love.
the living wreck
join the living wreck
to which place,
my trip is forced?
to the surface -
urging for a sense.
a hungry wolf
a hunter for affection
behind me
these memories
looking forwards,
there is ...
there is joy
there is bliss.
looking backwards,
there was ...
there was fight
there was burden."
against-the-shadow,2007,disbelief,"the pain from outside . . .
against my will . . .
welcome in our land . . ."
scattered-product,2007,disbelief,"i've no place tu hide
there's no life within me
i want to become free
to become free
there's no life within me
i want to become free
safe you'll like i embrace you with?
pain start pain start pain start again
starved joy of life in me
an exist without a rough
next day will come
the inner keep closed
no more pain - no more pain
i talk to you - life in fear
i've no place to run and hide
trials die in the beginning
realization is not real
the warmth suffocate by coldness
by my own coldness
i've no place to rund and hide
no more pain - no more pain
i embrace you with a deep gaze
no more pain - no more pain
my private story, my - you come
i've no place to run and hide
i embrace you with a deep lppk
the flood of infinite affection
flows forwards you
surrender of reason, deception is blessed
i've no place to rund and hide
beholding myself - beholding myself
scatter product"
me-and-my-world,2007,disbelief,"along a strange way
tear down all fears
rely on mind's eye
and face all doubts
beware of the know all
their pessimistic view
preserve your conviction
just visual - just visual for you
me and my world
a wholesome church
no easy movement
against the stream
pragmatic values
destroy the dream
beware of the know all
their pessimistic view
preserve your conviction
just visual - just visual for you
me and my world
a wholesome church
i take the difficult way
i don't need any church to pray
i've chosen the right way for me
i take the difficult way
i don't need any church to pray
i've chosen the right way for me
me and my world
a wholesome church
me and my world
come on and see - and see...
they destroy the dream
they destroy the dream, my dream
they destroy the dream
they destroy the dream, my dream
my dream"
soul-massacre,2007,disbelief,"my ways are scattered
my life in pain
my ways now others
my heart
drilled by pain
my aways were
like yours
my life was
like yours
no day too long
the world i was been
was enough - was enough
emotions, reflections
tears will fall
a pondering heart through my head
i will stop the real
a drift from above
thousand thought waves are here
for the crack
they will it spite
they never dwell
i'll follow my way
a soul massacre
for the crack
they will it spite
they never dwell
i'll follow my way
a soul massacre
a soul massacre
for the cracked life
i'll follow my way
soul massacre
for the crackes life
i'll follow my way
soul massacre
soul massacre
for the cracked life
i'll follow my way
soul massacre"
addiction,2007,disbelief,"awake, awake, awake, awake
satisfies my needs
of inner harmony
pulls me up and down
the only friend of mine
to handle what's inside
what's inside!
addiction
seeking - stunning my pain...
not easy to compare
don't know why it's me
all questions that i ask
no answers to be found
existence is our task, our task!
addiction
seeking - stunning my pain...
addiction
seeking - stunning my pain...
awake, awake, awake, awake
addiction
seeking - stunning my pain...
addiction
seeking - stunning my pain...
pain, pain, pain, pain!"
all-or-nothing,2007,disbelief,"suffering
- sacred of me,
is big and stark.
defeat is what i mean.
no one can -
understands m, why?
why i'm a gambler
isolated in mind?
isolated in mind?
why?
i obey myself,
in a moment of weakness,
against my own will, why?
psychotic fear,
that surrounds me.
who am i?
be careful of me and my dreams!
all or nothing
after all,
destroying what i've earned
i prefer
mow and tomorrow.
wright or wrong -
just going my own way
and saying good bye.
no fear - just growth, just growth.
no one understands me why
isolated in mind
all or nothing"
my-life,2007,disbelief,". . . my life in your life . . .
. . . take me up to down . . ."
down,2007,disbelief,"they're laughing, they're laughing - once i...
they're nothing, they're nothing... once i...
don't try again
i really want to fly, i never give up hope - i cry
they know nothing from me, myself and i
they know nothing from me, myself and i
they're nothing, they're nothing - once i...
from me, myself and i
the start - your life - your death - your pride
down"
